LOG DE PROCESAMIENTO — a10_leo
============================================================

TIEMPOS POR ARCHIVO
Archivo                       Tiempo (ms)         
--------------------------------------------------
289_sorted.txt                6.431               
101_sorted.txt                1.407               
260_sorted.txt                1.862               
263_sorted.txt                0.917               
290_sorted.txt                1.119               
344_sorted.txt                4.705               
441_sorted.txt                1.671               
400_sorted.txt                0.208               
454_sorted.txt                0.465               
004_sorted.txt                0.188               
188_sorted.txt                0.536               
348_sorted.txt                6.752               
115_sorted.txt                0.447               
415_sorted.txt                0.245               
061_sorted.txt                0.267               
483_sorted.txt                0.225               
330_sorted.txt                0.777               
328_sorted.txt                1.959               
428_sorted.txt                0.574               
037_sorted.txt                1.101               
498_sorted.txt                1.853               
382_sorted.txt                3.010               
255_sorted.txt                0.932               
044_sorted.txt                0.573               
413_sorted.txt                0.268               
070_sorted.txt                0.479               
347_sorted.txt                3.272               
196_sorted.txt                0.277               
378_sorted.txt                1.455               
432_sorted.txt                0.280               
142_sorted.txt                0.217               
006_sorted.txt                0.174               
266_sorted.txt                1.486               
111_sorted.txt                0.174               
411_sorted.txt                0.299               
451_sorted.txt                0.254               
333_sorted.txt                4.490               
485_sorted.txt                1.116               
117_sorted.txt                0.492               
207_sorted.txt                0.810               
018_sorted.txt                0.248               
198_sorted.txt                0.250               
159_sorted.txt                0.732               
023_sorted.txt                0.106               
195_sorted.txt                0.389               
318_sorted.txt                0.673               
168_sorted.txt                0.319               
393_sorted.txt                1.710               
408_sorted.txt                0.728               
339_sorted.txt                4.447               
204_sorted.txt                1.139               
069_sorted.txt                0.258               
245_sorted.txt                0.687               
100_sorted.txt                0.220               
373_sorted.txt                4.567               
230_sorted.txt                0.709               
422_sorted.txt                0.226               
402_sorted.txt                0.196               
092_sorted.txt                0.197               
331_sorted.txt                2.147               
312_sorted.txt                1.027               
397_sorted.txt                1.885               
279_sorted.txt                2.611               
446_sorted.txt                0.755               
150_sorted.txt                0.732               
085_sorted.txt                0.277               
444_sorted.txt                0.285               
349_sorted.txt                7.227               
259_sorted.txt                2.105               
186_sorted.txt                5.253               
357_sorted.txt                1.644               
276_sorted.txt                0.983               
simple_sorted.txt             0.135               
176_sorted.txt                0.169               
128_sorted.txt                0.159               
060_sorted.txt                0.378               
105_sorted.txt                0.515               
028_sorted.txt                0.702               
282_sorted.txt                3.089               
233_sorted.txt                1.163               
256_sorted.txt                0.930               
407_sorted.txt                0.520               
368_sorted.txt                4.902               
132_sorted.txt                0.173               
035_sorted.txt                0.230               
155_sorted.txt                0.104               
353_sorted.txt                3.572               
090_sorted.txt                0.253               
362_sorted.txt                3.830               
459_sorted.txt                1.506               
088_sorted.txt                0.455               
108_sorted.txt                0.446               
450_sorted.txt                0.336               
277_sorted.txt                1.772               
447_sorted.txt                0.791               
121_sorted.txt                0.363               
501_sorted.txt                0.710               
065_sorted.txt                0.287               
218_sorted.txt                0.371               
466_sorted.txt                1.634               
179_sorted.txt                1.811               
141_sorted.txt                0.879               
192_sorted.txt                0.547               
471_sorted.txt                0.240               
250_sorted.txt                1.098               
102_sorted.txt                0.099               
054_sorted.txt                0.373               
410_sorted.txt                0.518               
034_sorted.txt                0.845               
202_sorted.txt                0.483               
036_sorted.txt                0.432               
285_sorted.txt                0.935               
398_sorted.txt                0.556               
182_sorted.txt                0.293               
032_sorted.txt                0.233               
083_sorted.txt                0.365               
332_sorted.txt                0.828               
283_sorted.txt                1.267               
122_sorted.txt                0.458               
295_sorted.txt                1.117               
477_sorted.txt                0.405               
323_sorted.txt                1.930               
419_sorted.txt                0.882               
016_sorted.txt                0.585               
130_sorted.txt                0.253               
372_sorted.txt                4.705               
319_sorted.txt                0.623               
426_sorted.txt                0.839               
094_sorted.txt                0.338               
