Nombre del archivo                      tf.idf                                  
--------------------------------------------------------------------------------
498_sorted.txt                          0.0569                                  
492_sorted.txt                          0.0643                                  
344_sorted.txt                          0.0349                                  
348_sorted.txt                          0.0164                                  
347_sorted.txt                          0.0196                                  
393_sorted.txt                          0.0241                                  
339_sorted.txt                          0.0168                                  
397_sorted.txt                          0.0265                                  
349_sorted.txt                          0.0168                                  
357_sorted.txt                          0.0476                                  
368_sorted.txt                          0.0197                                  
353_sorted.txt                          0.0447                                  
362_sorted.txt                          0.0222                                  
179_sorted.txt                          0.0320                                  
372_sorted.txt                          0.0383                                  
336_sorted.txt                          0.0212                                  
350_sorted.txt                          0.0176                                  
367_sorted.txt                          0.0236                                  
355_sorted.txt                          0.0506                                  
375_sorted.txt                          0.0346                                  
369_sorted.txt                          0.0170                                  
358_sorted.txt                          0.0376                                  
352_sorted.txt                          0.0253                                  
337_sorted.txt                          0.0335                                  
189_sorted.txt                          0.0418                                  
043_sorted.txt                          0.0122                                  
363_sorted.txt                          0.0158                                  
156_sorted.txt                          0.0731                                  
389_sorted.txt                          0.0988                                  
342_sorted.txt                          0.0527                                  
059_sorted.txt                          0.5882                                  
381_sorted.txt                          0.0739                                  
390_sorted.txt                          0.0201                                  
356_sorted.txt                          0.0497                                  
345_sorted.txt                          0.0187                                  
343_sorted.txt                          0.0213                                  
370_sorted.txt                          0.0160                                  
366_sorted.txt                          0.0535                                  
361_sorted.txt                          0.0184                                  
346_sorted.txt                          0.0785                                  
024_sorted.txt                          0.8547                                  
338_sorted.txt                          0.0306                                  
197_sorted.txt                          0.0804                                  
181_sorted.txt                          0.0445                                  
341_sorted.txt                          0.0182                                  
445_sorted.txt                          0.0628                                  
383_sorted.txt                          0.0597                                  
364_sorted.txt                          0.0120                                  
195_sorted.txt                          0.1821                                  
277_sorted.txt                          0.0437                                  
309_sorted.txt                          0.0206                                  
257_sorted.txt                          0.1645                                  
303_sorted.txt                          0.0189                                  
252_sorted.txt                          0.0376                                  
249_sorted.txt                          0.0153                                  
315_sorted.txt                          0.0531                                  
314_sorted.txt                          0.2075                                  
311_sorted.txt                          0.0493                                  
393_sorted.txt                          0.0241                                  
339_sorted.txt                          0.0168                                  
245_sorted.txt                          0.1135                                  
353_sorted.txt                          0.0223                                  
350_sorted.txt                          0.0176                                  
243_sorted.txt                          0.1985                                  
258_sorted.txt                          0.0387                                  
246_sorted.txt                          0.5041                                  
247_sorted.txt                          0.0751                                  
240_sorted.txt                          0.0267                                  
242_sorted.txt                          0.1184                                  
433_sorted.txt                          0.0031                                  
434_sorted.txt                          0.0038                                  
436_sorted.txt                          0.0053                                  
433_sorted.txt                          0.0031                                  
434_sorted.txt                          0.0038                                  
435_sorted.txt                          0.0039                                  
437_sorted.txt                          0.0048                                  
436_sorted.txt                          0.0053                                  
260_sorted.txt                          0.0687                                  
382_sorted.txt                          0.0204                                  
255_sorted.txt                          0.3012                                  
393_sorted.txt                          0.0241                                  
331_sorted.txt                          0.0260                                  
397_sorted.txt                          0.0265                                  
279_sorted.txt                          0.0205                                  
349_sorted.txt                          0.0168                                  
028_sorted.txt                          0.2786                                  
282_sorted.txt                          0.0361                                  
256_sorted.txt                          0.0637                                  
447_sorted.txt                          0.2448                                  
285_sorted.txt                          0.0731                                  
295_sorted.txt                          0.2262                                  
309_sorted.txt                          0.0413                                  
278_sorted.txt                          0.0938                                  
244_sorted.txt                          0.0428                                  
243_sorted.txt                          0.0198                                  
355_sorted.txt                          0.0169                                  
375_sorted.txt                          0.0173                                  
292_sorted.txt                          0.0904                                  
091_sorted.txt                          0.1058                                  
359_sorted.txt                          0.0174                                  
174_sorted.txt                          0.1582                                  
052_sorted.txt                          0.1709                                  
329_sorted.txt                          0.0859                                  
275_sorted.txt                          0.1372                                  
252_sorted.txt                          0.0752                                  
249_sorted.txt                          0.0153                                  
074_sorted.txt                          0.1130                                  
380_sorted.txt                          0.0436                                  
389_sorted.txt                          0.0247                                  
137_sorted.txt                          0.0142                                  
269_sorted.txt                          0.0451                                  
234_sorted.txt                          0.0289                                  
335_sorted.txt                          0.0658                                  
241_sorted.txt                          0.0959                                  
388_sorted.txt                          0.0734                                  
019_sorted.txt                          0.2841                                  
361_sorted.txt                          0.0184                                  
311_sorted.txt                          0.0493                                  
379_sorted.txt                          0.0430                                  
270_sorted.txt                          0.0936                                  
334_sorted.txt                          0.0522                                  
298_sorted.txt                          0.0166                                  
247_sorted.txt                          0.0751                                  
237_sorted.txt                          0.1155                                  
304_sorted.txt                          0.0177                                  
240_sorted.txt                          0.0267                                  
273_sorted.txt                          0.4348                                  
383_sorted.txt                          0.0896                                  
364_sorted.txt                          0.0241                                  
333_sorted.txt                          0.0145                                  
161_sorted.txt                          0.5632                                  
027_sorted.txt                          0.0127                                  
234_sorted.txt                          0.0289                                  
078_sorted.txt                          0.1779                                  
068_sorted.txt                          0.6734                                  
077_sorted.txt                          9.6296                                  
343_sorted.txt                          0.0425                                  
007_sorted.txt                          0.0184                                  
211_sorted.txt                          0.2558                                  
181_sorted.txt                          0.0223                                  
374_sorted.txt                          0.0178                                  
355_sorted.txt                          0.0169                                  
376_sorted.txt                          0.0148                                  
341_sorted.txt                          0.0182                                  
365_sorted.txt                          0.0160                                  
364_sorted.txt                          0.0120                                  
195_sorted.txt                          0.1821                                  
223_sorted.txt                          0.0570                                  
433_sorted.txt                          0.0031                                  
434_sorted.txt                          0.0038                                  
437_sorted.txt                          0.0048                                  
181_sorted.txt                          0.0891                                  
454_sorted.txt                          0.2454                                  
459_sorted.txt                          0.0891                                  
466_sorted.txt                          0.1311                                  
477_sorted.txt                          0.4587                                  
465_sorted.txt                          0.1362                                  
458_sorted.txt                          0.2732                                  
456_sorted.txt                          0.4255                                  
468_sorted.txt                          0.5242                                  
461_sorted.txt                          0.0955                                  
469_sorted.txt                          0.3401                                  
462_sorted.txt                          0.0753                                  
492_sorted.txt                          0.0322                                  
092_sorted.txt                          0.7519                                  
139_sorted.txt                          1.1038                                  
392_sorted.txt                          0.0261                                  
