# Log de procesamiento — a7_leo

## Tiempos por archivo
| Archivo | Tiempo (ms) |
|---------|-------------|
| 289_sorted.txt | 3.004 |
| 101_sorted.txt | 0.944 |
| 260_sorted.txt | 0.885 |
| 263_sorted.txt | 0.343 |
| 290_sorted.txt | 0.783 |
| 344_sorted.txt | 2.564 |
| 441_sorted.txt | 0.214 |
| 400_sorted.txt | 0.588 |
| 454_sorted.txt | 0.285 |
| 004_sorted.txt | 0.121 |
| 188_sorted.txt | 0.678 |
| 348_sorted.txt | 3.432 |
| 115_sorted.txt | 0.275 |
| 415_sorted.txt | 0.120 |
| 061_sorted.txt | 0.078 |
| 483_sorted.txt | 0.179 |
| 330_sorted.txt | 0.304 |
| 328_sorted.txt | 0.671 |
| 428_sorted.txt | 0.277 |
| 037_sorted.txt | 0.662 |
| 498_sorted.txt | 0.957 |
| 382_sorted.txt | 1.327 |
| 255_sorted.txt | 0.162 |
| 044_sorted.txt | 0.290 |
| 413_sorted.txt | 0.558 |
| 070_sorted.txt | 0.189 |
| 347_sorted.txt | 1.589 |
| 196_sorted.txt | 0.111 |
| 378_sorted.txt | 0.507 |
| 432_sorted.txt | 0.099 |
| 142_sorted.txt | 0.051 |
| 006_sorted.txt | 0.059 |
| 266_sorted.txt | 0.602 |
| 111_sorted.txt | 0.056 |
| 411_sorted.txt | 0.096 |
| 451_sorted.txt | 0.086 |
| 333_sorted.txt | 1.880 |
| 485_sorted.txt | 0.429 |
| 117_sorted.txt | 0.120 |
| 207_sorted.txt | 0.253 |
| 018_sorted.txt | 0.088 |
| 198_sorted.txt | 0.112 |
| 159_sorted.txt | 0.306 |
| 023_sorted.txt | 0.062 |
| 195_sorted.txt | 0.183 |
| 318_sorted.txt | 0.287 |
| 168_sorted.txt | 0.131 |
| 393_sorted.txt | 0.764 |
| 408_sorted.txt | 0.273 |
| 339_sorted.txt | 2.053 |
| 204_sorted.txt | 0.548 |
| 069_sorted.txt | 0.071 |
| 245_sorted.txt | 0.241 |
| 100_sorted.txt | 0.060 |
| 373_sorted.txt | 1.979 |
| 230_sorted.txt | 0.243 |
| 422_sorted.txt | 0.096 |
| 402_sorted.txt | 0.085 |
| 092_sorted.txt | 0.068 |
| 331_sorted.txt | 0.792 |
| 312_sorted.txt | 0.423 |
| 397_sorted.txt | 0.770 |
| 279_sorted.txt | 0.996 |
| 446_sorted.txt | 0.295 |
| 150_sorted.txt | 0.285 |
| 085_sorted.txt | 0.125 |
| 444_sorted.txt | 0.119 |
| 349_sorted.txt | 3.199 |
| 259_sorted.txt | 3.746 |
| 186_sorted.txt | 0.080 |
| 357_sorted.txt | 0.825 |
| 276_sorted.txt | 0.508 |
| simple_sorted.txt | 0.056 |
| 176_sorted.txt | 0.064 |
| 128_sorted.txt | 0.067 |
| 060_sorted.txt | 0.194 |
| 105_sorted.txt | 0.279 |
| 028_sorted.txt | 0.318 |
| 282_sorted.txt | 1.421 |
| 233_sorted.txt | 0.546 |
| 256_sorted.txt | 0.493 |
| 407_sorted.txt | 0.247 |
| 368_sorted.txt | 1.636 |
| 132_sorted.txt | 0.077 |
| 035_sorted.txt | 0.041 |
| 155_sorted.txt | 0.056 |
| 353_sorted.txt | 1.604 |
| 090_sorted.txt | 0.050 |
| 362_sorted.txt | 1.856 |
| 459_sorted.txt | 0.693 |
| 088_sorted.txt | 0.238 |
| 108_sorted.txt | 0.165 |
| 450_sorted.txt | 0.103 |
| 277_sorted.txt | 1.818 |
| 447_sorted.txt | 0.326 |
| 121_sorted.txt | 0.121 |
| 501_sorted.txt | 1.110 |
| 065_sorted.txt | 0.076 |
| 218_sorted.txt | 0.115 |
| 466_sorted.txt | 0.235 |
| 179_sorted.txt | 0.936 |
| 141_sorted.txt | 0.373 |
| 192_sorted.txt | 0.208 |
| 471_sorted.txt | 0.076 |
| 250_sorted.txt | 0.539 |
| 102_sorted.txt | 0.044 |
| 054_sorted.txt | 0.116 |
| 410_sorted.txt | 0.215 |
| 034_sorted.txt | 0.329 |
| 202_sorted.txt | 0.218 |
| 036_sorted.txt | 0.132 |
| 285_sorted.txt | 0.421 |
| 398_sorted.txt | 0.209 |
| 182_sorted.txt | 0.100 |
| 032_sorted.txt | 0.046 |
| 083_sorted.txt | 0.103 |
| 332_sorted.txt | 0.385 |
| 283_sorted.txt | 0.659 |
| 122_sorted.txt | 0.159 |
| 295_sorted.txt | 0.479 |
| 477_sorted.txt | 0.127 |
| 323_sorted.txt | 0.823 |
| 419_sorted.txt | 0.358 |
| 016_sorted.txt | 0.186 |
| 130_sorted.txt | 0.049 |
