# Log de procesamiento — a8_leo
Fecha: 8/4/2026, 1:04:38 p.m.

## Tiempos por archivo
| Archivo | Tiempo (ms) |
|---------|-------------|
| 289_sorted.txt | 3.100 |
| 101_sorted.txt | 1.200 |
| 260_sorted.txt | 1.063 |
| 263_sorted.txt | 0.304 |
| 290_sorted.txt | 0.590 |
| 344_sorted.txt | 3.427 |
| 441_sorted.txt | 0.755 |
| 400_sorted.txt | 0.139 |
| 454_sorted.txt | 0.257 |
| 004_sorted.txt | 0.112 |
| 188_sorted.txt | 0.802 |
| 348_sorted.txt | 2.444 |
| 115_sorted.txt | 0.233 |
| 415_sorted.txt | 0.127 |
| 061_sorted.txt | 0.078 |
| 483_sorted.txt | 0.102 |
| 330_sorted.txt | 0.338 |
| 328_sorted.txt | 0.733 |
| 428_sorted.txt | 0.396 |
| 037_sorted.txt | 0.647 |
| 498_sorted.txt | 1.466 |
| 382_sorted.txt | 1.280 |
| 255_sorted.txt | 0.198 |
| 044_sorted.txt | 0.298 |
| 413_sorted.txt | 0.115 |
| 070_sorted.txt | 0.264 |
| 347_sorted.txt | 2.468 |
| 196_sorted.txt | 0.970 |
| 378_sorted.txt | 0.594 |
| 432_sorted.txt | 0.111 |
| 142_sorted.txt | 0.050 |
| 006_sorted.txt | 0.053 |
| 266_sorted.txt | 0.592 |
| 111_sorted.txt | 0.045 |
| 411_sorted.txt | 0.098 |
| 451_sorted.txt | 0.073 |
| 333_sorted.txt | 1.490 |
| 485_sorted.txt | 0.063 |
| 117_sorted.txt | 0.091 |
| 207_sorted.txt | 0.261 |
| 018_sorted.txt | 0.096 |
| 198_sorted.txt | 0.104 |
| 159_sorted.txt | 0.293 |
| 023_sorted.txt | 0.044 |
| 195_sorted.txt | 0.171 |
| 318_sorted.txt | 0.374 |
| 168_sorted.txt | 0.685 |
| 393_sorted.txt | 0.927 |
| 408_sorted.txt | 0.309 |
| 339_sorted.txt | 2.132 |
| 204_sorted.txt | 0.150 |
| 069_sorted.txt | 0.096 |
| 245_sorted.txt | 0.244 |
| 100_sorted.txt | 0.078 |
| 373_sorted.txt | 3.563 |
| 230_sorted.txt | 3.642 |
| 422_sorted.txt | 0.239 |
| 402_sorted.txt | 0.100 |
| 092_sorted.txt | 0.084 |
| 331_sorted.txt | 1.164 |
| 312_sorted.txt | 0.155 |
| 397_sorted.txt | 0.889 |
| 279_sorted.txt | 1.137 |
| 446_sorted.txt | 0.420 |
| 150_sorted.txt | 0.382 |
| 085_sorted.txt | 0.166 |
| 444_sorted.txt | 0.131 |
| 349_sorted.txt | 3.349 |
| 259_sorted.txt | 0.553 |
| 186_sorted.txt | 0.108 |
| 357_sorted.txt | 1.053 |
| 276_sorted.txt | 0.772 |
| simple_sorted.txt | 0.077 |
| 176_sorted.txt | 0.159 |
| 128_sorted.txt | 0.091 |
| 060_sorted.txt | 0.311 |
| 105_sorted.txt | 0.359 |
| 028_sorted.txt | 0.421 |
| 282_sorted.txt | 1.829 |
| 233_sorted.txt | 1.523 |
| 256_sorted.txt | 0.582 |
| 407_sorted.txt | 0.305 |
| 368_sorted.txt | 1.853 |
| 132_sorted.txt | 0.108 |
| 035_sorted.txt | 0.067 |
| 155_sorted.txt | 0.087 |
| 353_sorted.txt | 2.208 |
| 090_sorted.txt | 0.079 |
| 362_sorted.txt | 1.991 |
| 459_sorted.txt | 0.710 |
| 088_sorted.txt | 0.221 |
| 108_sorted.txt | 0.221 |
| 450_sorted.txt | 0.126 |
| 277_sorted.txt | 2.150 |
| 447_sorted.txt | 0.533 |
| 121_sorted.txt | 0.233 |
| 501_sorted.txt | 0.384 |
| 065_sorted.txt | 0.115 |
| 218_sorted.txt | 0.157 |
| 466_sorted.txt | 0.396 |
| 179_sorted.txt | 1.191 |
| 141_sorted.txt | 0.497 |
| 192_sorted.txt | 0.269 |
| 471_sorted.txt | 0.123 |
| 250_sorted.txt | 0.640 |
| 102_sorted.txt | 1.515 |
| 054_sorted.txt | 0.165 |
| 410_sorted.txt | 0.260 |
| 034_sorted.txt | 0.404 |
| 202_sorted.txt | 0.200 |
| 036_sorted.txt | 0.159 |
| 285_sorted.txt | 0.460 |
| 398_sorted.txt | 0.217 |
| 182_sorted.txt | 0.098 |
| 032_sorted.txt | 0.046 |
| 083_sorted.txt | 0.105 |
| 332_sorted.txt | 0.325 |
| 283_sorted.txt | 0.586 |
| 122_sorted.txt | 0.140 |
| 295_sorted.txt | 0.424 |
| 477_sorted.txt | 0.125 |
| 323_sorted.txt | 0.669 |
| 419_sorted.txt | 0.321 |
| 016_sorted.txt | 0.165 |
| 130_sorted.txt | 0.051 |
| 372_sorted.txt | 1.954 |
| 319_sorted.txt | 0.198 |
| 426_sorted.txt | 0.335 |
| 094_sorted.txt | 0.141 |
| 009_sorted.txt | 0.630 |
| 404_sorted.txt | 0.139 |
| 420_sorted.txt | 0.093 |
| 309_sorted.txt | 2.471 |
| 387_sorted.txt | 0.685 |
| 010_sorted.txt | 0.187 |
| 336_sorted.txt | 2.235 |
| 278_sorted.txt | 1.535 |
| 008_sorted.txt | 0.227 |
| 350_sorted.txt | 2.464 |
| 149_sorted.txt | 0.113 |
| 203_sorted.txt | 0.168 |
| 453_sorted.txt | 0.371 |
| 161_sorted.txt | 0.420 |
| 271_sorted.txt | 0.345 |
| 244_sorted.txt | 0.672 |
| 301_sorted.txt | 0.575 |
| 479_sorted.txt | 0.210 |
| 219_sorted.txt | 0.147 |
| 042_sorted.txt | 0.345 |
| 022_sorted.txt | 0.522 |
| 133_sorted.txt | 0.293 |
| 200_sorted.txt | 0.073 |
| 049_sorted.txt | 0.107 |
| 243_sorted.txt | 1.271 |
| 099_sorted.txt | 0.171 |
| 392_sorted.txt | 0.898 |
| 063_sorted.txt | 0.106 |
| 210_sorted.txt | 0.074 |
| 272_sorted.txt | 0.677 |
| 297_sorted.txt | 0.174 |
| 262_sorted.txt | 0.230 |
| 170_sorted.txt | 0.085 |
| 394_sorted.txt | 0.639 |
| 384_sorted.txt | 0.604 |
| 374_sorted.txt | 2.809 |
| 367_sorted.txt | 1.508 |
| 355_sorted.txt | 2.021 |
| 320_sorted.txt | 0.297 |
| 429_sorted.txt | 0.287 |
| 048_sorted.txt | 0.083 |
| 258_sorted.txt | 0.824 |
| 340_sorted.txt | 1.961 |
| 375_sorted.txt | 2.039 |
| 166_sorted.txt | 0.328 |
| 325_sorted.txt | 1.202 |
| 474_sorted.txt | 1.508 |
| 308_sorted.txt | 1.288 |
| 011_sorted.txt | 0.573 |
| 369_sorted.txt | 2.641 |
| 148_sorted.txt | 0.089 |
| 292_sorted.txt | 1.207 |
| 423_sorted.txt | 0.389 |
| 291_sorted.txt | 0.351 |
| 216_sorted.txt | 0.188 |
| 223_sorted.txt | 0.884 |
| 076_sorted.txt | 1.037 |
| 463_sorted.txt | 0.321 |
| 020_sorted.txt | 0.090 |
| hard_sorted.txt | 0.089 |
| 091_sorted.txt | 0.370 |
| 025_sorted.txt | 0.168 |
| 500_sorted.txt | 0.252 |
| 476_sorted.txt | 0.286 |
| 358_sorted.txt | 2.581 |
| 177_sorted.txt | 0.188 |
| 120_sorted.txt | 0.125 |
| 455_sorted.txt | 0.086 |
| 359_sorted.txt | 2.568 |
| 352_sorted.txt | 2.105 |
| 086_sorted.txt | 0.340 |
| 337_sorted.txt | 1.503 |
| 439_sorted.txt | 0.185 |
| 440_sorted.txt | 0.187 |
| 351_sorted.txt | 3.804 |
| 438_sorted.txt | 0.215 |
| 293_sorted.txt | 0.245 |
| 103_sorted.txt | 0.206 |
| 013_sorted.txt | 0.068 |
| 253_sorted.txt | 0.388 |
| 055_sorted.txt | 0.208 |
| 310_sorted.txt | 0.936 |
| 493_sorted.txt | 0.113 |
| 163_sorted.txt | 0.382 |
| 050_sorted.txt | 0.869 |
| 488_sorted.txt | 0.079 |
| 494_sorted.txt | 0.247 |
| 191_sorted.txt | 0.098 |
| 417_sorted.txt | 0.273 |
| 174_sorted.txt | 0.534 |
| 490_sorted.txt | 0.135 |
| 052_sorted.txt | 0.565 |
| 448_sorted.txt | 0.347 |
| 257_sorted.txt | 0.613 |
| 267_sorted.txt | 1.097 |
| 079_sorted.txt | 0.336 |
| 189_sorted.txt | 1.085 |
| 329_sorted.txt | 0.590 |
| 294_sorted.txt | 0.298 |
| 043_sorted.txt | 6.095 |
| 135_sorted.txt | 2.110 |
| 465_sorted.txt | 0.372 |
| 275_sorted.txt | 0.471 |
| 458_sorted.txt | 0.178 |
| 386_sorted.txt | 0.699 |
| 363_sorted.txt | 2.692 |
| 017_sorted.txt | 0.129 |
| 045_sorted.txt | 0.055 |
| 178_sorted.txt | 0.225 |
| 051_sorted.txt | 0.160 |
| 252_sorted.txt | 0.944 |
| 246_sorted.txt | 0.758 |
| 097_sorted.txt | 0.128 |
| 486_sorted.txt | 0.152 |
| 249_sorted.txt | 1.696 |
| 113_sorted.txt | 0.122 |
| 305_sorted.txt | 0.181 |
| 303_sorted.txt | 1.474 |
| 087_sorted.txt | 0.291 |
| 456_sorted.txt | 0.128 |
| 287_sorted.txt | 0.870 |
| 396_sorted.txt | 0.322 |
| 053_sorted.txt | 0.092 |
| 147_sorted.txt | 0.625 |
| 126_sorted.txt | 0.189 |
| 080_sorted.txt | 0.282 |
| 089_sorted.txt | 0.234 |
| 213_sorted.txt | 0.309 |
| 201_sorted.txt | 0.097 |
| 433_sorted.txt | 11.214 |
| 074_sorted.txt | 0.664 |
| 156_sorted.txt | 1.282 |
| 399_sorted.txt | 0.181 |
| 118_sorted.txt | 1.469 |
| 418_sorted.txt | 0.380 |
| 416_sorted.txt | 0.309 |
| 026_sorted.txt | 0.630 |
| 434_sorted.txt | 11.349 |
| 489_sorted.txt | 2.172 |
| 315_sorted.txt | 0.974 |
| 468_sorted.txt | 0.327 |
| 274_sorted.txt | 0.436 |
| 302_sorted.txt | 0.294 |
| 425_sorted.txt | 0.361 |
| 125_sorted.txt | 0.161 |
| 300_sorted.txt | 0.418 |
| 123_sorted.txt | 0.163 |
| 380_sorted.txt | 1.701 |
| 129_sorted.txt | 0.268 |
| 143_sorted.txt | 0.232 |
| 461_sorted.txt | 0.797 |
| 389_sorted.txt | 1.340 |
| 248_sorted.txt | 0.508 |
| 116_sorted.txt | 0.199 |
| 190_sorted.txt | 0.109 |
| 027_sorted.txt | 2.164 |
| 314_sorted.txt | 0.302 |
| 005_sorted.txt | 0.891 |
| 153_sorted.txt | 0.043 |
| 284_sorted.txt | 0.664 |
| 057_sorted.txt | 0.133 |
| 235_sorted.txt | 0.779 |
| 071_sorted.txt | 0.116 |
| 443_sorted.txt | 0.181 |
| 062_sorted.txt | 0.210 |
| 106_sorted.txt | 0.278 |
| medium_sorted.txt | 0.076 |
| 056_sorted.txt | 0.086 |
| 321_sorted.txt | 0.328 |
| 098_sorted.txt | 0.227 |
| 449_sorted.txt | 0.119 |
| 040_sorted.txt | 0.504 |
| 137_sorted.txt | 1.931 |
| 491_sorted.txt | 0.117 |
| 342_sorted.txt | 3.014 |
| 385_sorted.txt | 1.180 |
| 269_sorted.txt | 1.471 |
| 059_sorted.txt | 0.129 |
| 424_sorted.txt | 0.145 |
| 226_sorted.txt | 0.380 |
| 234_sorted.txt | 1.243 |
| 134_sorted.txt | 0.090 |
| 214_sorted.txt | 0.076 |
| 381_sorted.txt | 1.418 |
| 095_sorted.txt | 0.289 |
| 409_sorted.txt | 0.152 |
| 360_sorted.txt | 2.872 |
| 427_sorted.txt | 1.693 |
| 208_sorted.txt | 0.319 |
| 158_sorted.txt | 0.057 |
| 236_sorted.txt | 0.586 |
| 497_sorted.txt | 0.090 |
| 473_sorted.txt | 0.181 |
| 112_sorted.txt | 0.267 |
