# Log de procesamiento - a9_leo

 Tiempos por archivo
| Archivo | Tiempo (ms) |
|---------|-------------|
| 289_sorted.txt | 3.587 |
| 101_sorted.txt | 0.716 |
| 260_sorted.txt | 1.009 |
| 263_sorted.txt | 0.328 |
| 290_sorted.txt | 0.614 |
| 344_sorted.txt | 3.010 |
| 441_sorted.txt | 0.672 |
| 400_sorted.txt | 0.139 |
| 454_sorted.txt | 0.848 |
| 004_sorted.txt | 0.116 |
| 188_sorted.txt | 0.165 |
| 348_sorted.txt | 3.765 |
| 115_sorted.txt | 0.413 |
| 415_sorted.txt | 0.148 |
| 061_sorted.txt | 0.088 |
| 483_sorted.txt | 0.094 |
| 330_sorted.txt | 0.347 |
| 328_sorted.txt | 0.782 |
| 428_sorted.txt | 0.248 |
| 037_sorted.txt | 0.653 |
| 498_sorted.txt | 0.903 |
| 382_sorted.txt | 1.347 |
| 255_sorted.txt | 0.608 |
| 044_sorted.txt | 0.243 |
| 413_sorted.txt | 0.159 |
| 070_sorted.txt | 0.240 |
| 347_sorted.txt | 1.754 |
| 196_sorted.txt | 0.143 |
| 378_sorted.txt | 0.996 |
| 432_sorted.txt | 0.141 |
| 142_sorted.txt | 0.059 |
| 006_sorted.txt | 0.062 |
| 266_sorted.txt | 0.729 |
| 111_sorted.txt | 0.038 |
| 411_sorted.txt | 0.101 |
| 451_sorted.txt | 0.072 |
| 333_sorted.txt | 2.291 |
| 485_sorted.txt | 0.521 |
| 117_sorted.txt | 0.108 |
| 207_sorted.txt | 0.264 |
| 018_sorted.txt | 0.162 |
| 198_sorted.txt | 0.125 |
| 159_sorted.txt | 0.314 |
| 023_sorted.txt | 0.046 |
| 195_sorted.txt | 0.194 |
| 318_sorted.txt | 0.415 |
| 168_sorted.txt | 0.162 |
| 393_sorted.txt | 0.859 |
| 408_sorted.txt | 0.337 |
| 339_sorted.txt | 2.217 |
| 204_sorted.txt | 0.588 |
| 069_sorted.txt | 0.083 |
| 245_sorted.txt | 0.244 |
| 100_sorted.txt | 0.064 |
| 373_sorted.txt | 2.494 |
| 230_sorted.txt | 0.293 |
| 422_sorted.txt | 0.156 |
| 402_sorted.txt | 0.091 |
| 092_sorted.txt | 0.109 |
| 331_sorted.txt | 1.483 |
| 312_sorted.txt | 0.735 |
| 397_sorted.txt | 0.950 |
| 279_sorted.txt | 1.244 |
| 446_sorted.txt | 0.406 |
| 150_sorted.txt | 0.344 |
| 085_sorted.txt | 0.154 |
| 444_sorted.txt | 0.132 |
| 349_sorted.txt | 3.427 |
| 259_sorted.txt | 3.935 |
| 186_sorted.txt | 0.088 |
| 357_sorted.txt | 0.791 |
| 276_sorted.txt | 0.523 |
| simple_sorted.txt | 0.052 |
| 176_sorted.txt | 0.063 |
| 128_sorted.txt | 0.065 |
| 060_sorted.txt | 0.238 |
| 105_sorted.txt | 0.357 |
| 028_sorted.txt | 0.530 |
| 282_sorted.txt | 1.965 |
| 233_sorted.txt | 0.756 |
| 256_sorted.txt | 0.562 |
| 407_sorted.txt | 0.303 |
| 368_sorted.txt | 1.927 |
| 132_sorted.txt | 0.124 |
| 035_sorted.txt | 0.061 |
| 155_sorted.txt | 0.059 |
| 353_sorted.txt | 2.162 |
| 090_sorted.txt | 0.097 |
| 362_sorted.txt | 2.154 |
| 459_sorted.txt | 0.808 |
| 088_sorted.txt | 1.223 |
| 108_sorted.txt | 0.214 |
| 450_sorted.txt | 0.136 |
| 277_sorted.txt | 1.089 |
| 447_sorted.txt | 0.475 |
| 121_sorted.txt | 0.155 |
| 501_sorted.txt | 1.375 |
| 065_sorted.txt | 0.094 |
| 218_sorted.txt | 0.133 |
| 466_sorted.txt | 0.292 |
| 179_sorted.txt | 1.164 |
| 141_sorted.txt | 0.478 |
| 192_sorted.txt | 0.273 |
| 471_sorted.txt | 0.101 |
| 250_sorted.txt | 0.689 |
| 102_sorted.txt | 0.054 |
| 054_sorted.txt | 0.153 |
| 410_sorted.txt | 0.295 |
| 034_sorted.txt | 0.450 |
| 202_sorted.txt | 0.211 |
| 036_sorted.txt | 0.169 |
| 285_sorted.txt | 0.705 |
| 398_sorted.txt | 0.368 |
| 182_sorted.txt | 0.157 |
| 032_sorted.txt | 0.059 |
| 083_sorted.txt | 0.136 |
| 332_sorted.txt | 0.477 |
| 283_sorted.txt | 0.786 |
| 122_sorted.txt | 0.188 |
| 295_sorted.txt | 0.612 |
| 477_sorted.txt | 0.163 |
| 323_sorted.txt | 1.025 |
| 419_sorted.txt | 0.465 |
| 016_sorted.txt | 0.345 |
| 130_sorted.txt | 0.057 |
| 372_sorted.txt | 2.599 |
| 319_sorted.txt | 0.259 |
| 426_sorted.txt | 0.449 |
| 094_sorted.txt | 0.090 |
| 009_sorted.txt | 0.873 |
| 404_sorted.txt | 0.179 |
| 420_sorted.txt | 0.117 |
| 309_sorted.txt | 3.724 |
| 387_sorted.txt | 1.405 |
| 010_sorted.txt | 0.251 |
| 336_sorted.txt | 2.055 |
| 278_sorted.txt | 0.409 |
| 008_sorted.txt | 0.185 |
| 350_sorted.txt | 1.943 |
| 149_sorted.txt | 0.119 |
| 203_sorted.txt | 0.153 |
| 453_sorted.txt | 0.333 |
| 161_sorted.txt | 0.379 |
| 271_sorted.txt | 0.342 |
| 244_sorted.txt | 0.669 |
| 301_sorted.txt | 0.516 |
| 479_sorted.txt | 0.264 |
| 219_sorted.txt | 0.133 |
| 042_sorted.txt | 0.344 |
| 022_sorted.txt | 0.487 |
| 133_sorted.txt | 0.264 |
| 200_sorted.txt | 0.059 |
| 049_sorted.txt | 0.107 |
| 243_sorted.txt | 1.154 |
| 099_sorted.txt | 0.171 |
| 392_sorted.txt | 0.893 |
| 063_sorted.txt | 0.107 |
| 210_sorted.txt | 0.122 |
| 272_sorted.txt | 0.836 |
| 297_sorted.txt | 1.277 |
| 262_sorted.txt | 0.356 |
| 170_sorted.txt | 0.114 |
| 394_sorted.txt | 1.049 |
| 384_sorted.txt | 0.861 |
| 374_sorted.txt | 2.154 |
| 367_sorted.txt | 1.741 |
| 355_sorted.txt | 2.611 |
| 320_sorted.txt | 0.313 |
| 429_sorted.txt | 0.378 |
| 048_sorted.txt | 0.086 |
| 258_sorted.txt | 0.854 |
| 340_sorted.txt | 2.146 |
| 375_sorted.txt | 2.753 |
| 166_sorted.txt | 1.454 |
| 325_sorted.txt | 1.278 |
| 474_sorted.txt | 0.220 |
| 308_sorted.txt | 1.126 |
| 011_sorted.txt | 0.571 |
| 369_sorted.txt | 2.522 |
| 148_sorted.txt | 0.090 |
| 292_sorted.txt | 0.998 |
| 423_sorted.txt | 0.320 |
| 291_sorted.txt | 0.407 |
| 216_sorted.txt | 0.150 |
| 223_sorted.txt | 0.542 |
| 076_sorted.txt | 0.919 |
| 463_sorted.txt | 0.265 |
| 020_sorted.txt | 0.063 |
| hard_sorted.txt | 0.083 |
| 091_sorted.txt | 0.343 |
| 025_sorted.txt | 0.132 |
| 500_sorted.txt | 0.217 |
| 476_sorted.txt | 0.267 |
| 358_sorted.txt | 2.222 |
| 177_sorted.txt | 1.203 |
| 120_sorted.txt | 0.164 |
| 455_sorted.txt | 0.064 |
| 359_sorted.txt | 2.783 |
| 352_sorted.txt | 1.775 |
| 086_sorted.txt | 0.296 |
| 337_sorted.txt | 1.418 |
| 439_sorted.txt | 0.155 |
| 440_sorted.txt | 0.152 |
| 351_sorted.txt | 2.794 |
| 438_sorted.txt | 0.246 |
| 293_sorted.txt | 0.224 |
| 103_sorted.txt | 0.169 |
| 013_sorted.txt | 0.080 |
| 253_sorted.txt | 0.328 |
| 055_sorted.txt | 0.167 |
| 310_sorted.txt | 0.867 |
| 493_sorted.txt | 0.148 |
| 163_sorted.txt | 0.210 |
| 050_sorted.txt | 0.473 |
| 488_sorted.txt | 0.064 |
| 494_sorted.txt | 0.130 |
| 191_sorted.txt | 0.114 |
| 417_sorted.txt | 0.197 |
| 174_sorted.txt | 0.319 |
| 490_sorted.txt | 0.135 |
| 052_sorted.txt | 0.309 |
| 448_sorted.txt | 0.185 |
| 257_sorted.txt | 0.299 |
| 267_sorted.txt | 1.511 |
| 079_sorted.txt | 0.474 |
| 189_sorted.txt | 1.336 |
| 329_sorted.txt | 0.592 |
| 294_sorted.txt | 0.258 |
| 043_sorted.txt | 5.858 |
| 135_sorted.txt | 0.151 |
| 465_sorted.txt | 0.392 |
| 275_sorted.txt | 0.437 |
| 458_sorted.txt | 0.210 |
| 386_sorted.txt | 0.714 |
| 363_sorted.txt | 3.037 |
| 017_sorted.txt | 0.151 |
| 045_sorted.txt | 0.063 |
| 178_sorted.txt | 0.313 |
| 051_sorted.txt | 0.186 |
| 252_sorted.txt | 1.016 |
| 246_sorted.txt | 0.920 |
| 097_sorted.txt | 0.180 |
| 486_sorted.txt | 0.203 |
| 249_sorted.txt | 2.071 |
| 113_sorted.txt | 0.126 |
| 305_sorted.txt | 0.238 |
| 303_sorted.txt | 2.117 |
| 087_sorted.txt | 1.855 |
| 456_sorted.txt | 0.214 |
| 287_sorted.txt | 1.070 |
| 396_sorted.txt | 0.365 |
| 053_sorted.txt | 0.127 |
| 147_sorted.txt | 0.723 |
| 126_sorted.txt | 0.263 |
| 080_sorted.txt | 0.388 |
| 089_sorted.txt | 0.212 |
| 213_sorted.txt | 0.283 |
| 201_sorted.txt | 0.097 |
| 433_sorted.txt | 9.388 |
| 074_sorted.txt | 0.536 |
| 156_sorted.txt | 1.135 |
| 399_sorted.txt | 0.145 |
| 118_sorted.txt | 1.320 |
| 418_sorted.txt | 0.368 |
| 416_sorted.txt | 0.216 |
| 026_sorted.txt | 0.474 |
| 434_sorted.txt | 12.060 |
| 489_sorted.txt | 0.234 |
| 315_sorted.txt | 1.324 |
| 468_sorted.txt | 0.565 |
| 274_sorted.txt | 0.725 |
| 302_sorted.txt | 0.560 |
| 425_sorted.txt | 0.672 |
| 125_sorted.txt | 0.259 |
| 300_sorted.txt | 0.799 |
| 123_sorted.txt | 0.246 |
| 380_sorted.txt | 2.192 |
| 129_sorted.txt | 0.272 |
| 143_sorted.txt | 0.179 |
| 461_sorted.txt | 0.841 |
| 389_sorted.txt | 3.153 |
| 248_sorted.txt | 0.556 |
| 116_sorted.txt | 0.152 |
| 190_sorted.txt | 0.103 |
| 027_sorted.txt | 2.111 |
| 314_sorted.txt | 0.301 |
| 005_sorted.txt | 1.105 |
| 153_sorted.txt | 0.080 |
| 284_sorted.txt | 0.684 |
| 057_sorted.txt | 0.155 |
| 235_sorted.txt | 0.819 |
| 071_sorted.txt | 0.117 |
| 443_sorted.txt | 0.165 |
| 062_sorted.txt | 0.204 |
| 106_sorted.txt | 0.254 |
| medium_sorted.txt | 0.101 |
| 056_sorted.txt | 0.071 |
| 321_sorted.txt | 0.341 |
| 098_sorted.txt | 0.230 |
| 449_sorted.txt | 0.105 |
| 040_sorted.txt | 0.514 |
| 137_sorted.txt | 2.047 |
| 491_sorted.txt | 0.114 |
| 342_sorted.txt | 3.367 |
| 385_sorted.txt | 1.291 |
| 269_sorted.txt | 1.625 |
| 059_sorted.txt | 0.153 |
| 424_sorted.txt | 0.171 |
| 226_sorted.txt | 0.425 |
| 234_sorted.txt | 1.270 |
| 134_sorted.txt | 0.092 |
| 214_sorted.txt | 0.084 |
| 381_sorted.txt | 1.591 |
| 095_sorted.txt | 0.314 |
| 409_sorted.txt | 0.167 |
| 360_sorted.txt | 3.483 |
| 427_sorted.txt | 0.791 |
| 208_sorted.txt | 0.301 |
| 158_sorted.txt | 0.077 |
| 236_sorted.txt | 0.772 |
| 497_sorted.txt | 0.112 |
| 473_sorted.txt | 0.216 |
| 112_sorted.txt | 0.304 |
| 335_sorted.txt | 0.750 |
| 033_sorted.txt | 0.195 |
| 376_sorted.txt | 5.566 |
| 131_sorted.txt | 1.916 |
| 307_sorted.txt | 2.063 |
| 180_sorted.txt | 0.126 |
| 401_sorted.txt | 0.427 |
| 146_sorted.txt | 0.950 |
| 015_sorted.txt | 0.162 |
| 107_sorted.txt | 0.079 |
| 073_sorted.txt | 0.086 |
| 231_sorted.txt | 0.072 |
| 435_sorted.txt | 7.593 |
| 496_sorted.txt | 0.127 |
| 467_sorted.txt | 0.114 |
| 152_sorted.txt | 1.253 |
| 066_sorted.txt | 0.754 |
| 503_sorted.txt | 0.158 |
| 265_sorted.txt | 0.195 |
| 222_sorted.txt | 0.660 |
| 475_sorted.txt | 0.255 |
| 167_sorted.txt | 0.110 |
| 377_sorted.txt | 2.905 |
| 288_sorted.txt | 0.306 |
| 041_sorted.txt | 0.210 |
| 299_sorted.txt | 0.938 |
| 154_sorted.txt | 0.469 |
| 172_sorted.txt | 0.212 |
| 241_sorted.txt | 0.405 |
| 390_sorted.txt | 1.303 |
| 096_sorted.txt | 0.153 |
| 487_sorted.txt | 0.163 |
| 452_sorted.txt | 0.104 |
| 078_sorted.txt | 0.224 |
| 029_sorted.txt | 1.019 |
| 388_sorted.txt | 0.889 |
| 212_sorted.txt | 0.166 |
| 225_sorted.txt | 0.142 |
| 356_sorted.txt | 1.039 |
| 306_sorted.txt | 0.317 |
| 227_sorted.txt | 0.099 |
| 484_sorted.txt | 0.297 |
| 175_sorted.txt | 0.174 |
| 421_sorted.txt | 0.386 |
| 209_sorted.txt | 0.233 |
| 460_sorted.txt | 0.178 |
| 431_sorted.txt | 0.282 |
| 193_sorted.txt | 0.175 |
| 199_sorted.txt | 0.233 |
| 068_sorted.txt | 0.154 |
| 058_sorted.txt | 0.303 |
| 313_sorted.txt | 0.559 |
| 077_sorted.txt | 0.088 |
| 164_sorted.txt | 0.227 |
| 345_sorted.txt | 2.597 |
| 081_sorted.txt | 0.126 |
| 194_sorted.txt | 0.231 |
| 224_sorted.txt | 0.149 |
| 251_sorted.txt | 0.506 |
| 343_sorted.txt | 2.287 |
