| Nombre del archivo | Frecuencia |
|--------------------|------------|
| 498_sorted.txt | 2 |
| 492_sorted.txt | 2 |
| 344_sorted.txt | 2 |
| 348_sorted.txt | 1 |
| 347_sorted.txt | 1 |
| 393_sorted.txt | 1 |
| 339_sorted.txt | 1 |
| 397_sorted.txt | 1 |
| 349_sorted.txt | 2 |
| 357_sorted.txt | 1 |
| 368_sorted.txt | 1 |
| 353_sorted.txt | 2 |
| 362_sorted.txt | 1 |
| 179_sorted.txt | 1 |
| 372_sorted.txt | 2 |
| 336_sorted.txt | 1 |
| 350_sorted.txt | 1 |
| 367_sorted.txt | 1 |
| 355_sorted.txt | 3 |
| 375_sorted.txt | 2 |
| 369_sorted.txt | 1 |
| 358_sorted.txt | 2 |
| 352_sorted.txt | 1 |
| 337_sorted.txt | 1 |
| 189_sorted.txt | 1 |
| 043_sorted.txt | 2 |
| 363_sorted.txt | 1 |
| 156_sorted.txt | 2 |
| 389_sorted.txt | 4 |
| 342_sorted.txt | 3 |
| 059_sorted.txt | 1 |
| 381_sorted.txt | 4 |
| 390_sorted.txt | 1 |
| 356_sorted.txt | 1 |
| 345_sorted.txt | 1 |
| 343_sorted.txt | 1 |
| 370_sorted.txt | 1 |
| 366_sorted.txt | 3 |
| 361_sorted.txt | 1 |
| 346_sorted.txt | 5 |
| 024_sorted.txt | 1 |
| 338_sorted.txt | 2 |
| 197_sorted.txt | 1 |
| 181_sorted.txt | 2 |
| 341_sorted.txt | 1 |
| 445_sorted.txt | 1 |
| 383_sorted.txt | 4 |
| 364_sorted.txt | 1 |
| 195_sorted.txt | 1 |
| 277_sorted.txt | 1 |
| 309_sorted.txt | 1 |
| 257_sorted.txt | 1 |
| 303_sorted.txt | 1 |
| 252_sorted.txt | 1 |
| 249_sorted.txt | 1 |
| 315_sorted.txt | 1 |
| 314_sorted.txt | 1 |
| 311_sorted.txt | 1 |
| 393_sorted.txt | 1 |
| 339_sorted.txt | 1 |
| 245_sorted.txt | 1 |
| 353_sorted.txt | 1 |
| 350_sorted.txt | 1 |
| 243_sorted.txt | 10 |
| 258_sorted.txt | 1 |
| 246_sorted.txt | 11 |
| 247_sorted.txt | 2 |
| 240_sorted.txt | 1 |
| 242_sorted.txt | 2 |
| 433_sorted.txt | 1 |
| 434_sorted.txt | 1 |
| 436_sorted.txt | 1 |
| 433_sorted.txt | 1 |
| 434_sorted.txt | 1 |
| 435_sorted.txt | 1 |
| 437_sorted.txt | 1 |
| 436_sorted.txt | 1 |
| 260_sorted.txt | 2 |
| 382_sorted.txt | 1 |
| 255_sorted.txt | 1 |
| 393_sorted.txt | 1 |
| 331_sorted.txt | 1 |
| 397_sorted.txt | 1 |
| 279_sorted.txt | 1 |
| 349_sorted.txt | 2 |
| 028_sorted.txt | 3 |
| 282_sorted.txt | 2 |
| 256_sorted.txt | 1 |
| 447_sorted.txt | 2 |
| 285_sorted.txt | 1 |
| 295_sorted.txt | 3 |
| 309_sorted.txt | 2 |
| 278_sorted.txt | 1 |
| 244_sorted.txt | 1 |
| 243_sorted.txt | 1 |
| 355_sorted.txt | 1 |
| 375_sorted.txt | 1 |
| 292_sorted.txt | 3 |
| 091_sorted.txt | 1 |
| 359_sorted.txt | 1 |
| 174_sorted.txt | 1 |
| 052_sorted.txt | 1 |
| 329_sorted.txt | 1 |
| 275_sorted.txt | 1 |
| 252_sorted.txt | 2 |
| 249_sorted.txt | 1 |
| 074_sorted.txt | 1 |
| 380_sorted.txt | 2 |
| 389_sorted.txt | 1 |
| 137_sorted.txt | 1 |
| 269_sorted.txt | 2 |
| 234_sorted.txt | 1 |
| 335_sorted.txt | 1 |
| 241_sorted.txt | 1 |
| 388_sorted.txt | 2 |
| 019_sorted.txt | 14 |
| 361_sorted.txt | 1 |
| 311_sorted.txt | 1 |
| 379_sorted.txt | 1 |
| 270_sorted.txt | 1 |
| 334_sorted.txt | 1 |
| 298_sorted.txt | 1 |
| 247_sorted.txt | 2 |
| 237_sorted.txt | 1 |
| 304_sorted.txt | 1 |
| 240_sorted.txt | 1 |
| 273_sorted.txt | 4 |
| 383_sorted.txt | 6 |
| 364_sorted.txt | 2 |
| 333_sorted.txt | 1 |
| 161_sorted.txt | 7 |
| 027_sorted.txt | 1 |
| 234_sorted.txt | 1 |
| 078_sorted.txt | 1 |
| 068_sorted.txt | 2 |
| 077_sorted.txt | 13 |
| 343_sorted.txt | 2 |
| 007_sorted.txt | 1 |
| 211_sorted.txt | 1 |
| 181_sorted.txt | 1 |
| 374_sorted.txt | 1 |
| 355_sorted.txt | 1 |
| 376_sorted.txt | 1 |
| 341_sorted.txt | 1 |
| 365_sorted.txt | 1 |
| 364_sorted.txt | 1 |
| 195_sorted.txt | 1 |
| 223_sorted.txt | 1 |
| 433_sorted.txt | 1 |
| 434_sorted.txt | 1 |
| 437_sorted.txt | 1 |
| 181_sorted.txt | 4 |
| 454_sorted.txt | 2 |
| 459_sorted.txt | 2 |
| 466_sorted.txt | 1 |
| 477_sorted.txt | 1 |
| 465_sorted.txt | 1 |
| 458_sorted.txt | 1 |
| 456_sorted.txt | 1 |
| 468_sorted.txt | 4 |
| 461_sorted.txt | 2 |
| 469_sorted.txt | 2 |
| 462_sorted.txt | 3 |
| 492_sorted.txt | 1 |
| 092_sorted.txt | 1 |
| 139_sorted.txt | 5 |
| 392_sorted.txt | 1 |
| 011_sorted.txt | 1 |
| 223_sorted.txt | 1 |
| 363_sorted.txt | 1 |
| 381_sorted.txt | 1 |
| 281_sorted.txt | 1 |
| 372_sorted.txt | 1 |
| 360_sorted.txt | 1 |
| 365_sorted.txt | 1 |
| 368_sorted.txt | 1 |
| 367_sorted.txt | 4 |
| 340_sorted.txt | 2 |
| 250_sorted.txt | 1 |
| 325_sorted.txt | 1 |
| 252_sorted.txt | 1 |
| 249_sorted.txt | 1 |
| 254_sorted.txt | 2 |
| 044_sorted.txt | 1 |
| 347_sorted.txt | 1 |
| 198_sorted.txt | 1 |
| 501_sorted.txt | 2 |
| 179_sorted.txt | 1 |
| 369_sorted.txt | 1 |
| 223_sorted.txt | 2 |
| 043_sorted.txt | 3 |
| 026_sorted.txt | 2 |
| 027_sorted.txt | 2 |
| 040_sorted.txt | 1 |
| 377_sorted.txt | 1 |
| 280_sorted.txt | 3 |
| 211_sorted.txt | 1 |
| 181_sorted.txt | 3 |
| 067_sorted.txt | 1 |
| 047_sorted.txt | 1 |
| 433_sorted.txt | 1 |
| 434_sorted.txt | 1 |
| 005_sorted.txt | 1 |
| 435_sorted.txt | 1 |
| 436_sorted.txt | 1 |
| 433_sorted.txt | 1 |
| 434_sorted.txt | 1 |
| 435_sorted.txt | 1 |
| 437_sorted.txt | 1 |
| 433_sorted.txt | 3 |
| 434_sorted.txt | 2 |
| 435_sorted.txt | 2 |
| 437_sorted.txt | 1 |
| 436_sorted.txt | 2 |
| 349_sorted.txt | 2 |
| 342_sorted.txt | 1 |
| 345_sorted.txt | 1 |
| 370_sorted.txt | 1 |
| 341_sorted.txt | 1 |
| 101_sorted.txt | 1 |
| 179_sorted.txt | 1 |
| 009_sorted.txt | 1 |
| 120_sorted.txt | 1 |
| 057_sorted.txt | 1 |
| 015_sorted.txt | 1 |
| 224_sorted.txt | 2 |
| 011_sorted.txt | 1 |
| 043_sorted.txt | 1 |
| 152_sorted.txt | 1 |
| 181_sorted.txt | 1 |
| 064_sorted.txt | 1 |
| 347_sorted.txt | 1 |
| 373_sorted.txt | 1 |
| 375_sorted.txt | 1 |
| 377_sorted.txt | 1 |
| 338_sorted.txt | 2 |
| 365_sorted.txt | 1 |
| 433_sorted.txt | 1 |
| 434_sorted.txt | 1 |
| 435_sorted.txt | 1 |
| 362_sorted.txt | 1 |
| 355_sorted.txt | 2 |
| 371_sorted.txt | 1 |
| 341_sorted.txt | 1 |
| 364_sorted.txt | 2 |
| 368_sorted.txt | 1 |
| 372_sorted.txt | 2 |
| 352_sorted.txt | 1 |
| 337_sorted.txt | 1 |
| 376_sorted.txt | 2 |
| 341_sorted.txt | 1 |
| 364_sorted.txt | 1 |
| 397_sorted.txt | 2 |
| 387_sorted.txt | 1 |
| 392_sorted.txt | 3 |
| 384_sorted.txt | 4 |
| 358_sorted.txt | 1 |
| 267_sorted.txt | 1 |
| 189_sorted.txt | 1 |
| 043_sorted.txt | 3 |
| 363_sorted.txt | 1 |
| 389_sorted.txt | 1 |
| 381_sorted.txt | 1 |
| 167_sorted.txt | 1 |
| 390_sorted.txt | 2 |
| 175_sorted.txt | 1 |
| 366_sorted.txt | 1 |
| 346_sorted.txt | 1 |
| 280_sorted.txt | 1 |
| 338_sorted.txt | 1 |
| 030_sorted.txt | 1 |
| 436_sorted.txt | 1 |
| 395_sorted.txt | 1 |
| 433_sorted.txt | 1 |
| 434_sorted.txt | 1 |
| 435_sorted.txt | 1 |
| 436_sorted.txt | 1 |
| 289_sorted.txt | 1 |
| 260_sorted.txt | 1 |
| 290_sorted.txt | 1 |
| 378_sorted.txt | 1 |
| 339_sorted.txt | 1 |
| 245_sorted.txt | 1 |
| 331_sorted.txt | 1 |
| 179_sorted.txt | 2 |
| 250_sorted.txt | 1 |
| 285_sorted.txt | 1 |
| 244_sorted.txt | 1 |
| 243_sorted.txt | 6 |
| 369_sorted.txt | 1 |
| 189_sorted.txt | 2 |
| 043_sorted.txt | 1 |
| 248_sorted.txt | 2 |
| 235_sorted.txt | 6 |
| 269_sorted.txt | 1 |
| 146_sorted.txt | 2 |
| 377_sorted.txt | 1 |
| 154_sorted.txt | 6 |
| 313_sorted.txt | 1 |
| 215_sorted.txt | 2 |
| 334_sorted.txt | 4 |
| 280_sorted.txt | 5 |
| 247_sorted.txt | 2 |
| 151_sorted.txt | 5 |
| 239_sorted.txt | 1 |
| 240_sorted.txt | 1 |
| 242_sorted.txt | 2 |
| 364_sorted.txt | 1 |
| 373_sorted.txt | 1 |
| 362_sorted.txt | 1 |
| 372_sorted.txt | 1 |
| 343_sorted.txt | 1 |
| 354_sorted.txt | 1 |
| 466_sorted.txt | 2 |
| 463_sorted.txt | 1 |
| 465_sorted.txt | 2 |
| 475_sorted.txt | 1 |
| 464_sorted.txt | 1 |
| 433_sorted.txt | 1 |
| 434_sorted.txt | 1 |
| 435_sorted.txt | 1 |
| 437_sorted.txt | 1 |
| 436_sorted.txt | 1 |
| 364_sorted.txt | 3 |
| 257_sorted.txt | 1 |
| 252_sorted.txt | 4 |
| 249_sorted.txt | 1 |
| 330_sorted.txt | 1 |
| 339_sorted.txt | 1 |
| 323_sorted.txt | 1 |
| 394_sorted.txt | 1 |
| 292_sorted.txt | 1 |
| 043_sorted.txt | 1 |
| 385_sorted.txt | 1 |
| 377_sorted.txt | 2 |
| 390_sorted.txt | 2 |
| 361_sorted.txt | 2 |
| 082_sorted.txt | 1 |
| 124_sorted.txt | 1 |
| 372_sorted.txt | 1 |
| 350_sorted.txt | 1 |
| 375_sorted.txt | 3 |
| 345_sorted.txt | 1 |
| 346_sorted.txt | 1 |
| 341_sorted.txt | 1 |
| 364_sorted.txt | 2 |
| 159_sorted.txt | 1 |
| 279_sorted.txt | 1 |
| 010_sorted.txt | 1 |
| 008_sorted.txt | 1 |
| 292_sorted.txt | 2 |
| 342_sorted.txt | 1 |
| 019_sorted.txt | 3 |
| 365_sorted.txt | 1 |
| 336_sorted.txt | 1 |
| 375_sorted.txt | 1 |
| 346_sorted.txt | 1 |
| 348_sorted.txt | 4 |
| 357_sorted.txt | 1 |
| 372_sorted.txt | 3 |
| 374_sorted.txt | 7 |
| 359_sorted.txt | 2 |
| 351_sorted.txt | 2 |
| 363_sorted.txt | 1 |
| 366_sorted.txt | 1 |
| 308_sorted.txt | 1 |
| 118_sorted.txt | 3 |
| 307_sorted.txt | 8 |
| 304_sorted.txt | 2 |
| 373_sorted.txt | 1 |
| 371_sorted.txt | 1 |
| 354_sorted.txt | 1 |
| 289_sorted.txt | 2 |
| 408_sorted.txt | 1 |
| 427_sorted.txt | 1 |
| 197_sorted.txt | 1 |
| 336_sorted.txt | 1 |
| 374_sorted.txt | 1 |
| 377_sorted.txt | 1 |
| 366_sorted.txt | 1 |
| 364_sorted.txt | 1 |
| 289_sorted.txt | 2 |
| 101_sorted.txt | 1 |
| 266_sorted.txt | 4 |
| 333_sorted.txt | 3 |
| 331_sorted.txt | 1 |
| 349_sorted.txt | 2 |
| 233_sorted.txt | 3 |
| 256_sorted.txt | 2 |
| 285_sorted.txt | 4 |
| 243_sorted.txt | 2 |
| 272_sorted.txt | 7 |
| 292_sorted.txt | 1 |
| 267_sorted.txt | 1 |
| 252_sorted.txt | 2 |
| 287_sorted.txt | 1 |
| 396_sorted.txt | 3 |
| 027_sorted.txt | 1 |
| 234_sorted.txt | 1 |
| 286_sorted.txt | 1 |
| 270_sorted.txt | 1 |
| 334_sorted.txt | 2 |
| 238_sorted.txt | 1 |
| 240_sorted.txt | 2 |
| 383_sorted.txt | 2 |
| 373_sorted.txt | 1 |
| 371_sorted.txt | 2 |
| 354_sorted.txt | 2 |
| 368_sorted.txt | 2 |
| 353_sorted.txt | 2 |
| 374_sorted.txt | 1 |
| 377_sorted.txt | 1 |
| 346_sorted.txt | 1 |
| 433_sorted.txt | 1 |
| 434_sorted.txt | 1 |
| 435_sorted.txt | 1 |
| 436_sorted.txt | 1 |
| 373_sorted.txt | 1 |
| 371_sorted.txt | 3 |
| 354_sorted.txt | 1 |
| 368_sorted.txt | 1 |
| 337_sorted.txt | 1 |
| 363_sorted.txt | 1 |
| 342_sorted.txt | 2 |
| 433_sorted.txt | 1 |
| 434_sorted.txt | 1 |
| 435_sorted.txt | 1 |
| 436_sorted.txt | 1 |
| 344_sorted.txt | 2 |
| 349_sorted.txt | 2 |
| 368_sorted.txt | 1 |
| 372_sorted.txt | 1 |
| 350_sorted.txt | 1 |
| 369_sorted.txt | 1 |
| 352_sorted.txt | 1 |
| 337_sorted.txt | 1 |
| 351_sorted.txt | 2 |
| 342_sorted.txt | 1 |
| 338_sorted.txt | 1 |
| 364_sorted.txt | 1 |
| 400_sorted.txt | 1 |
| 415_sorted.txt | 1 |
| 413_sorted.txt | 1 |
| 432_sorted.txt | 1 |
| 411_sorted.txt | 1 |
| 422_sorted.txt | 1 |
| 402_sorted.txt | 1 |
| 407_sorted.txt | 1 |
| 410_sorted.txt | 1 |
| 398_sorted.txt | 1 |
| 404_sorted.txt | 1 |
| 420_sorted.txt | 1 |
| 429_sorted.txt | 1 |
| 423_sorted.txt | 1 |
| 417_sorted.txt | 1 |
| 399_sorted.txt | 1 |
| 418_sorted.txt | 1 |
| 416_sorted.txt | 1 |
| 425_sorted.txt | 1 |
| 027_sorted.txt | 1 |
| 424_sorted.txt | 1 |
| 409_sorted.txt | 1 |
| 401_sorted.txt | 1 |
| 421_sorted.txt | 1 |
| 431_sorted.txt | 1 |
| 403_sorted.txt | 1 |
| 406_sorted.txt | 1 |
| 430_sorted.txt | 1 |
| 412_sorted.txt | 1 |
| 405_sorted.txt | 1 |
| 002_sorted.txt | 1 |
| 414_sorted.txt | 1 |
| 075_sorted.txt | 1 |
| 336_sorted.txt | 1 |
| 352_sorted.txt | 1 |
| 351_sorted.txt | 2 |
| 342_sorted.txt | 1 |
| 345_sorted.txt | 1 |
| 346_sorted.txt | 1 |
| 338_sorted.txt | 1 |
| 006_sorted.txt | 1 |
| 433_sorted.txt | 1 |
| 434_sorted.txt | 1 |
| 435_sorted.txt | 1 |
| 437_sorted.txt | 1 |
| 436_sorted.txt | 1 |
| 344_sorted.txt | 2 |
| 348_sorted.txt | 1 |
| 347_sorted.txt | 1 |
| 339_sorted.txt | 1 |
| 373_sorted.txt | 2 |
| 349_sorted.txt | 2 |
| 368_sorted.txt | 1 |
| 362_sorted.txt | 1 |
| 372_sorted.txt | 1 |
| 336_sorted.txt | 1 |
| 350_sorted.txt | 1 |
| 374_sorted.txt | 1 |
| 355_sorted.txt | 1 |
| 340_sorted.txt | 1 |
| 375_sorted.txt | 1 |
| 369_sorted.txt | 1 |
| 358_sorted.txt | 1 |
| 359_sorted.txt | 1 |
| 337_sorted.txt | 1 |
| 351_sorted.txt | 1 |
| 342_sorted.txt | 3 |
| 360_sorted.txt | 1 |
| 377_sorted.txt | 1 |
| 345_sorted.txt | 1 |
| 343_sorted.txt | 1 |
| 370_sorted.txt | 2 |
| 366_sorted.txt | 1 |
| 346_sorted.txt | 1 |
| 338_sorted.txt | 1 |
| 365_sorted.txt | 1 |
| 364_sorted.txt | 1 |
| 347_sorted.txt | 1 |
